L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  2        2.000    90.0    0.0     12.8    1.4     97840   0.0086  12.039   0.20000000 
01_07_2021  2        2.000    91.0    0.0     12.8    1.4     97840   0.0086  12.039   0.20000000 
01_07_2021  2        2.000    92.0    0.0     12.8    1.4     97840   0.0086  12.038   0.20000000 
01_07_2021  2        2.000    93.0    0.0     12.8    1.4     97840   0.0086  12.038   0.20000000 
01_07_2021  2        2.000    94.0    0.0     12.8    1.4     97840   0.0086  12.038   0.20000000 
01_07_2021  2        2.000    95.0    0.0     12.8    1.4     97840   0.0086  12.038   0.20000000 
01_07_2021  2        2.000    96.0    0.0     12.8    1.4     97840   0.0086  12.038   0.20000000 
01_07_2021  2        2.000    97.0    0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    98.0    0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    99.0    0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    100.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    101.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    102.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    103.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    104.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    105.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    106.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    107.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    108.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    109.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    110.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    111.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    112.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    113.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    114.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    115.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    116.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    117.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    118.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    119.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  2        2.000    120.0   0.0     12.8    1.4     97840   0.0086  12.037   0.20000000 
01_07_2021  3        3.000    121.0   0.0     12.9    1.4     97850   0.0084  12.073   0.20000000 
01_07_2021  3        3.000    122.0   0.0     12.9    1.4     97850   0.0084  12.082   0.20000000 
01_07_2021  3        3.000    123.0   0.0     12.9    1.4     97850   0.0084  12.088   0.20000000 
01_07_2021  3        3.000    124.0   0.0     12.9    1.4     97850   0.0084  12.093   0.20000000 
01_07_2021  3        3.000    125.0   0.0     12.9    1.4     97850   0.0084  12.097   0.20000000 
01_07_2021  3        3.000    126.0   0.0     12.9    1.4     97850   0.0084  12.101   0.20000000 
01_07_2021  3        3.000    127.0   0.0     12.9    1.4     97850   0.0084  12.104   0.20000000 
01_07_2021  3        3.000    128.0   0.0     12.9    1.4     97850   0.0084  12.107   0.20000000 
01_07_2021  3        3.000    129.0   0.0     12.9    1.4     97850   0.0084  12.109   0.20000000 
01_07_2021  3        3.000    130.0   0.0     12.9    1.4     97850   0.0084  12.111   0.20000000 
01_07_2021  3        3.000    131.0   0.0     12.9    1.4     97850   0.0084  12.112   0.20000000 
01_07_2021  3        3.000    132.0   0.0     12.9    1.4     97850   0.0084  12.114   0.20000000 
01_07_2021  3        3.000    133.0   0.0     12.9    1.4     97850   0.0084  12.115   0.20000000 
01_07_2021  3        3.000    134.0   0.0     12.9    1.4     97850   0.0084  12.116   0.20000000 
01_07_2021  3        3.000    135.0   0.0     12.9    1.4     97850   0.0084  12.117   0.20000000 
01_07_2021  3        3.000    136.0   0.0     12.9    1.4     97850   0.0084  12.117   0.20000000 
01_07_2021  3        3.000    137.0   0.0     12.9    1.4     97850   0.0084  12.118   0.20000000 
01_07_2021  3        3.000    138.0   0.0     12.9    1.4     97850   0.0084  12.118   0.20000000 
01_07_2021  3        3.000    139.0   0.0     12.9    1.4     97850   0.0084  12.119   0.20000000 
01_07_2021  3        3.000    140.0   0.0     12.9    1.4     97850   0.0084  12.119   0.20000000 
01_07_2021  3        3.000    141.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
01_07_2021  3        3.000    142.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
01_07_2021  3        3.000    143.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
01_07_2021  3        3.000    144.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
